,Country,Total
0,Afghanistan,2
1,Albania,0
2,Algeria,17
3,American Samoa,0
4,Andorra,0
5,Angola,0
6,Antigua,0
7,Argentina,274
8,Armenia,16
9,Aruba,0
10,Australia,1349
11,Austria,450
12,Azerbaijan,44
13,Bahamas,40
14,Bahrain,3
15,Bangladesh,0
16,Barbados,1
17,Belarus,139
18,Belgium,468
19,Belize,0
20,Benin,0
21,Bermuda,1
22,Bhutan,0
23,Boliva,0
24,Bosnia and Herzegovina,0
25,Botswana,1
26,Brazil,475
27,Brunei,0
28,Bulgaria,342
29,Burkina Faso,0
30,Burundi,2
31,Cambodia,0
32,Cameroon,22
33,Canada,1352
34,Cape Verde,0
35,Cayman Islands,0
36,Central African Republic,0
37,Chad,0
38,Chile,32
39,China,993
40,Colombia,28
41,Comoros,0
42,Cook Islands,0
43,Costa Rica,4
44,Croatia,149
45,Cuba,409
46,Curacao,1
47,Cyprus,1
48,Czech Republic,644
49,Democratic Republic of the Congo,0
50,Denmark,597
51,Djibouti,1
52,Dominica,0
53,Dominican Republic,7
54,Ecuador,2
55,Egypt,27
56,El Salvador,0
57,Equatorial Guinea,0
58,Eritrea,1
59,Estonia,50
60,Ethiopia,53
61,Fiji,13
62,Finland,900
63,France,1777
64,Gabon,1
65,Gambia,0
66,Georgia,32
67,Germany,3756
68,Ghana,23
69,Greece,255
70,Grenada,2
71,Guam,0
72,Guatemala,1
73,Guinea,0
74,Guinea-Bissau,0
75,Guyana,1
76,Haiti,7
77,Honduras,0
78,Hungary,1135
79,Iceland,17
80,India,197
81,Individual Olympic Athletes,5
82,Indonesia,41
83,Iran,68
84,Iraq,1
85,Ireland,35
86,Israel,9
87,Italy,1637
88,Ivory Coast,3
89,Jamaica,157
90,Japan,913
91,Jordan,1
92,Kazakhstan,77
93,Kenya,106
94,Kiribati,0
95,Kosovo,1
96,Kuwait,2
97,Kyrgyzstan,3
98,Laos,0
99,Latvia,35
100,Lebanon,4
101,Lesotho,0
102,Liberia,0
103,Libya,0
104,Liechtenstein,9
105,Lithuania,61
106,Luxembourg,8
107,Macedonia,1
108,Madagascar,0
109,Malawi,0
110,Malaysia,16
111,Maldives,0
112,Mali,0
113,Malta,0
114,Marshall Islands,0
115,Mauritania,0
116,Mauritius,1
117,Mexico,110
118,Micronesia,0
119,Moldova,8
120,Monaco,1
121,Mongolia,26
122,Montenegro,14
123,Morocco,23
124,Mozambique,2
125,Myanmar,0
126,Namibia,4
127,Nauru,0
128,Nepal,1
129,Netherlands,1040
130,New Zealand,228
131,Nicaragua,0
132,Niger,2
133,Nigeria,99
134,North Korea,67
135,Norway,1033
136,Oman,0
137,Pakistan,121
138,Palau,0
139,Palestine,0
140,Panama,3
141,Papua New Guinea,0
142,Paraguay,17
143,Peru,15
144,Philippines,10
145,Poland,565
146,Portugal,41
147,Puerto Rico,9
148,Qatar,5
149,Refugee Olympic Athletes,0
150,Republic of Congo,0
151,Romania,653
152,Russia,3947
153,Rwanda,0
154,Saint Kitts,0
155,Saint Lucia,0
156,Saint Vincent,0
157,Samoa,0
158,San Marino,0
159,Sao Tome and Principe,0
160,Saudi Arabia,6
161,Senegal,1
162,Serbia,539
163,Seychelles,0
164,Sierra Leone,0
165,Singapore,9
166,Slovakia,47
167,Slovenia,48
168,Solomon Islands,0
169,Somalia,0
170,South Africa,131
171,South Korea,638
172,South Sudan,0
173,Spain,489
174,Sri Lanka,2
175,Sudan,1
176,Suriname,2
177,Swaziland,0
178,Sweden,1536
179,Switzerland,691
180,Syria,5
181,Taiwan,49
182,Tajikistan,4
183,Tanzania,2
184,Thailand,30
185,Timor-Leste,0
186,Togo,1
187,Tonga,1
188,Trinidad,37
189,Tunisia,13
190,Turkey,95
191,Turkmenistan,0
192,Tuvalu,0
193,UK,2068
194,USA,5637
195,Uganda,7
196,Ukraine,199
197,United Arab Emirates,2
198,Unknown,0
199,Uruguay,63
200,Uzbekistan,34
201,Vanuatu,0
202,Venezuela,15
203,Vietnam,4
204,"Virgin Islands, British",0
205,"Virgin Islands, US",1
206,Yemen,0
207,Zambia,2
208,Zimbabwe,22
